image_filename,camera_id,num_boxes_total,num_weapon_boxes,num_excluded_boxes,num_unknown_boxes,has_weapon_after_mapping
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_1.jpg,cam1,0,0,0,0,0
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_10.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_100.jpg,cam1,2,2,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_101.jpg,cam1,2,2,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_102.jpg,cam1,2,2,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_103.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_104.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_105.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_106.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_107.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_108.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_109.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_11.jpg,cam1,2,1,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_110.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_111.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_112.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_113.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_114.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_115.jpg,cam1,1,1,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_12.jpg,cam1,3,2,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_13.jpg,cam1,2,1,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_14.jpg,cam1,3,2,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_15.jpg,cam1,3,2,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_16.jpg,cam1,3,2,1,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_17.jpg,cam1,2,2,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_18.jpg,cam1,2,2,0,0,1
Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_19.jpg,cam1,2,2,0,0,1
